,0,1,2,3,4
0,1,,0.0,0.0,0.0
1,2,,0.0,0.0,0.0
2,3,,0.0,0.0,0.0
3,4,,0.0,0.0,0.0
4,5,,0.0,0.0,0.0
5,6,,0.0,0.0,0.0
6,7,,0.0,0.0,0.0
7,8,,0.0,0.0,0.0
8,9,,0.0,0.0,0.0
9,10,,1.0,1.0,1.0
10,11,,0.8421052631578947,1.0,0.7272727272727273
11,12,,1.0,1.0,1.0
12,13,,0.8571428571428571,1.0,0.75
13,14,,1.0,1.0,1.0
14,15,,0.0,0.0,0.0
15,16,,0.0,0.0,0.0
16,17,,0.0,0.0,0.0
17,18,,0.0,0.0,0.0
18,19,,0.8888888888888888,1.0,0.8
19,20,,0.0,0.0,0.0
20,21,,1.0,1.0,1.0
21,22,,0.0,0.0,0.0
22,23,,0.9090909090909091,1.0,0.8333333333333334
23,24,,0.9714285714285714,1.0,0.9444444444444444
24,25,,0.0,0.0,0.0
25,26,,0.9655172413793104,1.0,0.9333333333333333
26,27,,0.75,1.0,0.6
27,28,,1.0,1.0,1.0
28,29,,0.88,1.0,0.7857142857142857
29,30,,1.0,1.0,1.0
30,31,,0.9629629629629629,1.0,0.9285714285714286
31,32,,0.9629629629629629,1.0,0.9285714285714286
32,33,,1.0,1.0,1.0
33,34,,0.782608695652174,1.0,0.6428571428571429
34,35,,0.0,0.0,0.0
35,36,,0.6666666666666666,1.0,0.5
36,37,,0.9565217391304348,1.0,0.9166666666666666
37,38,,1.0,1.0,1.0
38,39,,1.0,1.0,1.0
39,40,,1.0,1.0,1.0
40,41,,0.42857142857142855,1.0,0.2727272727272727
41,42,,0.0,0.0,0.0
42,43,,0.8888888888888888,1.0,0.8
43,44,,1.0,1.0,1.0
44,45,,1.0,1.0,1.0
45,46,,0.5,1.0,0.3333333333333333
46,47,,1.0,1.0,1.0
47,48,,0.36363636363636365,1.0,0.2222222222222222
48,49,,0.0,0.0,0.0
49,50,,0.0,0.0,0.0
