epoch,loss,accuracy
1,14.978314064331908,66.66666666666667
2,0.667342492003939,66.66666666666667
3,0.637392863408843,66.66666666666667
4,0.6212038575713315,66.66666666666667
5,0.607913105345484,66.66666666666667
6,0.5985023619523689,66.66666666666667
7,0.5937481393564993,66.66666666666667
8,0.5889704908008007,66.66666666666667
9,0.5864428299576488,66.66666666666667
10,0.5847688882208583,66.66666666666667
11,0.5834626573235241,66.66666666666667
12,0.5845136037513391,66.66666666666667
13,0.5833441864198713,66.66666666666667
14,0.5840088974184064,66.66666666666667
15,0.5825975350479582,66.66666666666667
16,0.5816961366738846,66.66666666666667
17,0.5832286490433252,66.66666666666667
18,0.5823845747691482,66.66666666666667
19,0.5823496927076312,66.66666666666667
20,0.5813509692896658,66.66666666666667
21,0.5827599207856762,66.66666666666667
22,0.5826290712427737,66.66666666666667
23,0.5811456642044124,66.66666666666667
24,0.5813712958079665,66.66666666666667
25,0.5836996262642875,66.66666666666667
26,0.583148850433862,66.66666666666667
27,0.583235355455484,66.66666666666667
28,0.5827053175933326,66.66666666666667
29,0.579488417550699,66.66666666666667
30,0.5813163216434308,66.66666666666667
31,0.5826230307123554,66.66666666666667
32,0.5824879038689742,66.66666666666667
33,0.5840774396462227,66.66666666666667
34,0.5819595051345541,66.66666666666667
35,0.5818314748023873,66.66666666666667
36,0.5839941248075285,66.66666666666667
37,0.5858007291359688,66.66666666666667
38,0.5830018827274664,66.66666666666667
39,0.5829101929913706,66.66666666666667
40,0.5824865489753325,66.66666666666667
41,0.5820398223933889,66.66666666666667
42,0.5836730159040707,66.66666666666667
43,0.5825311630519469,66.66666666666667
44,0.5817328767100377,66.66666666666667
45,0.581131761643424,66.66666666666667
46,0.5811538046865321,66.66666666666667
47,0.5822590985404912,66.66666666666667
48,0.5820106423612851,66.66666666666667
49,0.5811128723087595,66.66666666666667
50,0.582295488065748,66.66666666666667
