id,mean,std,trend,acf,low_ratio,high_ratio,label,cluster,pca1,pca2
1,10554.620991253645,2633.3319739303283,-1.2130516133713491,0.06225807667147959,0.0,0.0058309037900874635,0,0,-1.5443542332202471,0.8443037302414768
2,7435.665573770491,2738.4509549052345,-11.116481415689657,0.14356990915258908,0.003278688524590164,0.01639344262295082,0,0,-1.1928580044742103,-0.12585152864040142
3,12327.823529411764,2957.432376737595,196.13725490196077,0.030238993261543928,0.0,0.0,0,2,-3.0529948303420036,2.830539497931109
4,9197.353383458647,3289.741535646947,1.0363340508666519,-0.05648162524436824,0.022556390977443608,0.022556390977443608,0,0,-1.0715184907510595,0.9953921632563112
5,8138.64705882353,2703.0488022424206,4.850588528916278,0.005616386049631957,0.0053475935828877,0.026737967914438502,0,0,-1.3494742371349564,0.4192434889710729
8,3583.2065217391305,1162.4712669477926,10.207118967988533,0.020894513745640435,0.010869565217391304,0.010869565217391304,0,0,-2.103769343934137,-1.047550686982253
9,4272.0723684210525,1056.9651073634664,-1.4666561306691497,0.056627706397270786,0.0,0.013157894736842105,0,0,-2.0714075791972912,-1.10901384511161
10,5740.030821917808,1847.1398500823748,0.002582259982368928,0.17405654573643192,0.023972602739726026,0.023972602739726026,0,0,-1.233849854767958,-0.8633350900508981
12,6264.33014354067,2581.738103955691,-15.82090935380409,0.0479052417968806,0.004784688995215311,0.09569377990430622,0,0,-0.27914513051741596,-0.6225388825153583
13,8748.918439716312,3032.6393913132965,-3.786390448795625,0.17090151750480495,0.0070921985815602835,0.031914893617021274,0,0,-0.8434934959408814,0.16815333077467084
15,4213.194029850746,1430.9593613012566,1.9752770799468007,-0.06451313294881755,0.0,0.04477611940298507,0,0,-1.7216993633246027,-0.8177023935866558
17,8326.692556634303,3790.953410403181,19.64629689133291,0.4151499474328179,0.06472491909385113,0.05501618122977346,0,1,0.4851897433033547,-0.2595659264047668
18,2787.821862348178,971.3706501263542,3.059331967878906,0.09167818448877581,0.012145748987854251,0.048582995951417005,0,0,-1.503530178735237,-1.7030703074100233
19,1250.9097744360902,889.3763672857602,-3.1956876587669996,0.3557024636922997,0.015037593984962405,0.06015037593984962,0,0,-0.9484913338248446,-2.831636966925088
20,3207.044117647059,1516.6882307284195,-17.945890750849333,0.035684515483123735,0.0,0.058823529411764705,0,0,-1.2261744640586216,-1.465926586325472
22,5943.106870229008,2852.658650783814,-21.541627075214866,0.2945357329765109,0.0,0.0916030534351145,0,0,0.0906619127808624,-1.2305549680858205
23,6082.679127725857,2462.3312308029153,9.977595126835782,0.29924749030297343,0.0,0.06230529595015576,0,0,-0.6654496135818063,-0.9861353804134544
24,1311.2564102564102,559.0708279494081,4.445529154389914,-0.02580498414845008,0.01282051282051282,0.08974358974358974,0,0,-1.27833157649066,-2.071041096813816
25,13260.061538461538,5048.006504862697,-9.80546958477993,0.10731438304343016,0.03076923076923077,0.03461538461538462,0,0,0.13561568288540665,1.9538631759621634
26,7721.20207253886,2681.9642182503067,-1.012796458522515,0.0028123641742522085,0.0,0.015544041450777202,0,0,-1.5293864499925656,0.3460410856241652
621e2e8e67b776a24055b564,9167.085774647887,3336.094164505393,-0.7693779342723007,-0.05314934680887523,0.056338028169014086,0.028169014084507043,1,0,-0.603996519605759,0.9319318820372455
