epoch,loss,acc,f1,precision,recall
1,0.6869571805000305,0.5224586288416075,0.6347197106690777,0.4854771784232365,0.9164490861618799
2,0.6771621108055115,0.6583924349881797,0.6902465166130761,0.5854545454545454,0.8407310704960835
3,0.6690114140510559,0.7163120567375887,0.7101449275362319,0.6606741573033708,0.7676240208877284
4,0.662079930305481,0.7446808510638298,0.7230769230769231,0.7103274559193955,0.7362924281984334
5,0.6532264947891235,0.7683215130023641,0.7400530503978779,0.7520215633423181,0.7284595300261096
6,0.6459229588508606,0.7813238770685579,0.7523427041499331,0.771978021978022,0.7336814621409922
7,0.6390361189842224,0.793144208037825,0.7631935047361299,0.7921348314606742,0.7362924281984334
8,0.6325759887695312,0.8014184397163121,0.771117166212534,0.8062678062678063,0.7389033942558747
9,0.6282362937927246,0.7990543735224587,0.7651933701657458,0.8123167155425219,0.7232375979112271
10,0.6230661869049072,0.7966903073286052,0.7617728531855956,0.8112094395280236,0.7180156657963447
11,0.6178092956542969,0.806146572104019,0.770949720670391,0.8288288288288288,0.720626631853786
12,0.6127446293830872,0.8014184397163121,0.7633802816901408,0.8287461773700305,0.7075718015665796
13,0.6095038652420044,0.8085106382978723,0.7724719101123596,0.8358662613981763,0.7180156657963447
14,0.6037459969520569,0.8120567375886525,0.7769985974754559,0.8393939393939394,0.7232375979112271
15,0.6027609705924988,0.8049645390070922,0.7692307692307693,0.8283132530120482,0.7180156657963447
16,0.5969566702842712,0.8108747044917257,0.776536312849162,0.8348348348348348,0.7258485639686684
17,0.5913978815078735,0.8108747044917257,0.7759103641456583,0.8368580060422961,0.7232375979112271
18,0.5904057025909424,0.8096926713947991,0.7766990291262136,0.8284023668639053,0.7310704960835509
19,0.5867750644683838,0.8096926713947991,0.7754532775453278,0.8323353293413174,0.7258485639686684
20,0.5804665088653564,0.8085106382978723,0.7737430167597765,0.8318318318318318,0.7232375979112271
21,0.5760665535926819,0.8096926713947991,0.7754532775453278,0.8323353293413174,0.7258485639686684
22,0.5727111101150513,0.8049645390070922,0.7717842323651453,0.8205882352941176,0.7284595300261096
23,0.5707914233207703,0.8144208037825059,0.7828492392807745,0.8323529411764706,0.7389033942558747
24,0.5672641396522522,0.8049645390070922,0.7717842323651453,0.8205882352941176,0.7284595300261096
25,0.561835765838623,0.8073286052009456,0.7745504840940526,0.8235294117647058,0.7310704960835509
26,0.5585816502571106,0.8108747044917257,0.7814207650273224,0.8194842406876791,0.7467362924281984
27,0.5512309074401855,0.8096926713947991,0.7773167358229599,0.8264705882352941,0.7336814621409922
28,0.5505531430244446,0.8132387706855791,0.7817679558011049,0.8299120234604106,0.7389033942558747
29,0.5495246052742004,0.8085106382978723,0.7774725274725275,0.8202898550724638,0.7389033942558747
30,0.5473364591598511,0.8085106382978723,0.7768595041322314,0.8221574344023324,0.7362924281984334
31,0.5388158559799194,0.8120567375886525,0.7818930041152263,0.8236994219653179,0.7441253263707572
32,0.5350714921951294,0.8156028368794326,0.7863013698630137,0.8270893371757925,0.7493472584856397
33,0.5327314138412476,0.8132387706855791,0.7805555555555556,0.8338278931750742,0.7336814621409922
34,0.5294733643531799,0.8037825059101655,0.7694444444444445,0.8219584569732937,0.7232375979112271
35,0.5300626754760742,0.8073286052009456,0.7732962447844228,0.8273809523809523,0.7258485639686684
36,0.5193621516227722,0.8096926713947991,0.7779310344827586,0.8245614035087719,0.7362924281984334
37,0.51628577709198,0.8073286052009456,0.7751724137931034,0.8216374269005848,0.7336814621409922
38,0.5127018690109253,0.8132387706855791,0.7811634349030471,0.831858407079646,0.7362924281984334
39,0.5115307569503784,0.8085106382978723,0.7743732590529248,0.8298507462686567,0.7258485639686684
40,0.5078221559524536,0.8073286052009456,0.7739251040221914,0.8254437869822485,0.7284595300261096
41,0.5002800822257996,0.8073286052009456,0.772027972027972,0.8313253012048193,0.720626631853786
42,0.4953033924102783,0.8144208037825059,0.7798036465638148,0.8424242424242424,0.7258485639686684
43,0.4986872673034668,0.806146572104019,0.7696629213483146,0.8328267477203647,0.7154046997389034
44,0.49231982231140137,0.8096926713947991,0.7754532775453278,0.8323353293413174,0.7258485639686684
45,0.491571843624115,0.8108747044917257,0.776536312849162,0.8348348348348348,0.7258485639686684
46,0.4877028465270996,0.8108747044917257,0.7759103641456583,0.8368580060422961,0.7232375979112271
47,0.48052728176116943,0.8120567375886525,0.7757404795486601,0.843558282208589,0.7180156657963447
48,0.4779123365879059,0.8073286052009456,0.7732962447844228,0.8273809523809523,0.7258485639686684
49,0.47536328434944153,0.8120567375886525,0.7751060820367751,0.845679012345679,0.7154046997389034
50,0.4752623736858368,0.8120567375886525,0.7757404795486601,0.843558282208589,0.7180156657963447
